llave año-equipo local,llave año-equipo visitante,año,equipo local,marcador local,marcador visitante,equipo visitante,Total Mercado (€ M) local,Portero (€ M) local,Defensa (€ M) local,Mediocampo (€ M) local,Delantera (€ M)  local,% Ganado local,% Emape Casa local,% derrota local,Dominancia en puntos local,Total Mercado (€ M) visita,Portero (€ M) visita,Defensa (€ M) visita,Mediocampo (€ M) visita,Delantera (€ M)  visita,% Ganado Visita ,% Empate Visita ,% Derrota Visitante,Dominancia en puntos visita,resultado
2024-Monterrey,2024-Pumas,2024,Monterrey,3,0,Pumas,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,47.6,4.76,14.28,14.28,14.28,30%,25%,45%,75,gana local
2024-Xolos,2024-Monterrey,2024,Xolos,1,1,Monterrey,NULL,NULL,NULL,NULL,NULL,55%,15%,30%,49,88.6,8.86,26.58,26.58,26.58,38%,24%,38%,118,empate
2024-Juarez,2024-Monterrey,2024,Juarez,0,3,Monterrey,NULL,NULL,NULL,NULL,NULL,28%,33%,39%,55,88.6,8.86,26.58,26.58,26.58,38%,24%,38%,118,gana visitante
2024-Monterrey,2024-Toluca,2024,Monterrey,0,0,Toluca,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,77.45,7.75,23.24,23.24,23.24,38%,33%,29%,118,empate
2024-Monterrey,2024-Pachuca,2024,Monterrey,3,2,Pachuca,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,56.6,5.66,16.98,16.98,16.98,26%,16%,58%,98,gana local
2024-América,2024-Monterrey,2024,América,1,1,Monterrey,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,88.6,8.86,26.58,26.58,26.58,38%,24%,38%,118,empate
2024-Monterrey,2024-Atlético San Luis,2024,Monterrey,3,1,Atlético San Luis,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,45.95,4.6,13.84,13.84,13.84,21%,16%,63%,59,gana local
2024-Monterrey,2024-Querétaro,2024,Monterrey,1,1,Querétaro,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,NULL,NULL,NULL,NULL,NULL,18%,18%,65%,64,empate
2024-Santos Laguna,2024-Monterrey,2024,Santos Laguna,0,2,Monterrey,35.9,3.59,10.77,10.77,10.77,24%,18%,59%,46,88.6,8.86,26.58,26.58,26.58,38%,24%,38%,118,gana visitante
2024-Monterrey,2024-Puebla,2024,Monterrey,2,0,Puebla,88.6,8.86,26.58,26.58,26.58,61%,17%,22%,118,24.1,2.41,7.23,7.23,7.23,12%,18%,71%,34,gana local
2023-Monterrey,2023-Atlético San Luis,2023,Monterrey,1,1,Atlético San Luis,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,35.85,3.59,10.77,10.77,10.77,21%,16%,63%,59,empate
2023-Atlético San Luis,2023-Monterrey,2023,Atlético San Luis,1,0,Monterrey,35.85,3.59,10.77,10.77,10.77,68%,5%,26%,59,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana local
2023-Querétaro,2023-Monterrey,2023,Querétaro,0,0,Monterrey,21.45,2.14,6.44,6.44,6.44,35%,12%,53%,64,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,empate
2023-Monterrey,2023-Santos Laguna,2023,Monterrey,3,0,Santos Laguna,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,NULL,NULL,NULL,NULL,NULL,0%,12%,88%,46,gana local
2023-Pachuca,2023-Monterrey,2023,Pachuca,0,2,Monterrey,51.25,5.13,15.38,15.38,15.38,39%,33%,28%,98,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana visitante
2023-Monterrey,2023-Necaxa,2023,Monterrey,3,0,Necaxa,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,40,4,12,12,12,28%,28%,44%,77,gana local
2023-Monterrey,2023-Xolos,2023,Monterrey,3,1,Xolos,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,NULL,NULL,NULL,NULL,NULL,28%,22%,50%,49,gana local
2023-Pumas,2023-Monterrey,2023,Pumas,0,1,Monterrey,NULL,NULL,NULL,NULL,NULL,50%,17%,33%,75,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana visitante
2023-Monterrey,2023-Juarez,2023,Monterrey,3,1,Juarez,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,NULL,NULL,NULL,NULL,NULL,35%,18%,47%,55,gana local
2023-Puebla,2023-Monterrey,2023,Puebla,1,1,Monterrey,26.7,2.67,8.01,8.01,8.01,24%,12%,65%,34,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,empate
2023-Tigres,2023-Monterrey,2023,Tigres,3,0,Monterrey,67.6,6.76,20.28,20.28,20.28,70%,25%,5%,107,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana local
2023-Chivas,2023-Monterrey,2023,Chivas,1,2,Monterrey,69.7,6.97,20.91,20.91,20.91,44%,33%,22%,99,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana visitante
2023-Toluca,2023-Monterrey,2023,Toluca,1,0,Monterrey,66.2,6.62,19.86,19.86,19.86,76%,19%,5%,118,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,gana local
2023-Monterrey,2023-Cruz Azul,2023,Monterrey,1,2,Cruz Azul,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,72.2,7.22,21.66,21.66,21.66,52%,24%,24%,107,gana visitante
2023-Monterrey,2023-Atlas,2023,Monterrey,1,0,Atlas,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,30.7,3.07,9.21,9.21,9.21,26%,32%,42%,60,gana local
2023-Atlético San Luis,2023-Monterrey,2023,Atlético San Luis,1,1,Monterrey,35.85,3.59,10.77,10.77,10.77,68%,5%,26%,59,88.1,8.81,26.43,26.43,26.43,38%,24%,38%,118,empate
2024-Necaxa,2024-Querétaro,2024,Necaxa,1,1,Querétaro,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,18%,18%,65%,64,empate
2024-Tigres,2024-Necaxa,2024,Tigres,5,2,Necaxa,67,6.7,20.1,20.1,20.1,70%,25%,5%,107,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,gana local
2024-Necaxa,2024-Santos Laguna,2024,Necaxa,2,0,Santos Laguna,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,0%,12%,88%,46,gana local
2024-Xolos,2024-Necaxa,2024,Xolos,2,3,Necaxa,NULL,NULL,NULL,NULL,NULL,55%,15%,30%,49,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,gana visitante
2024-Necaxa,2024-León,2024,Necaxa,1,2,León,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,29.55,2.96,8.87,8.87,8.87,28%,28%,44%,87,gana visitante
2024-Cruz Azul,2024-Necaxa,2024,Cruz Azul,1,2,Necaxa,78.85,7.89,23.66,23.66,23.66,71%,24%,5%,107,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,gana visitante
2024-Necaxa,2024-Atlético San Luis,2024,Necaxa,3,1,Atlético San Luis,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,45.95,4.6,13.84,13.84,13.84,21%,16%,63%,59,gana local
2024-Mazatlán,2024-Necaxa,2024,Mazatlán,2,1,Necaxa,31.45,3.15,9.44,9.44,9.44,29%,47%,24%,40,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,gana local
2024-Necaxa,2024-Pachuca,2024,Necaxa,1,1,Pachuca,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,56.6,5.66,16.98,16.98,16.98,26%,16%,58%,98,empate
2024-Necaxa,2024-Chivas,2024,Necaxa,1,0,Chivas,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,24%,24%,53%,99,gana local
2024-Necaxa,2024-Toluca,2024,Necaxa,3,3,Toluca,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,77.45,7.75,23.24,23.24,23.24,38%,33%,29%,118,empate
2024-Juarez,2024-Necaxa,2024,Juarez,2,2,Necaxa,NULL,NULL,NULL,NULL,NULL,28%,33%,39%,55,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,empate
2024-Pumas,2024-Necaxa,2024,Pumas,2,2,Necaxa,47.6,4.76,14.28,14.28,14.28,50%,17%,33%,75,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,empate
2024-Puebla,2024-Necaxa,2024,Puebla,1,2,Necaxa,24.1,2.41,7.23,7.23,7.23,24%,12%,65%,34,38.5,3.85,11.55,11.55,11.55,28%,28%,44%,77,gana visitante
2024-Necaxa,2024-Atlas,2024,Necaxa,2,1,Atlas,38.5,3.85,11.55,11.55,11.55,44%,22%,33%,77,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,gana local
2023-Necaxa,2023-Mazatlán,2023,Necaxa,4,0,Mazatlán,40,4,12,12,12,44%,22%,33%,77,35.05,3.5,10.51,10.51,10.51,6%,29%,65%,40,gana local
2023-Monterrey,2023-Necaxa,2023,Monterrey,3,0,Necaxa,88.1,8.81,26.43,26.43,26.43,61%,17%,22%,118,40,4,12,12,12,28%,28%,44%,77,gana local
2023-Necaxa,2023-Pumas,2023,Necaxa,1,0,Pumas,40,4,12,12,12,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,30%,25%,45%,75,gana local
2023-Atlético San Luis,2023-Necaxa,2023,Atlético San Luis,4,0,Necaxa,35.85,3.59,10.77,10.77,10.77,68%,5%,26%,59,40,4,12,12,12,28%,28%,44%,77,gana local
2023-Necaxa,2023-Cruz Azul,2023,Necaxa,1,3,Cruz Azul,40,4,12,12,12,44%,22%,33%,77,72.2,7.22,21.66,21.66,21.66,52%,24%,24%,107,gana visitante
2023-Santos Laguna,2023-Necaxa,2023,Santos Laguna,2,5,Necaxa,46,4.6,13.8,13.8,13.8,24%,18%,59%,46,40,4,12,12,12,28%,28%,44%,77,gana visitante
2023-Necaxa,2023-Juarez,2023,Necaxa,1,1,Juarez,40,4,12,12,12,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,35%,18%,47%,55,empate
2023-León,2023-Necaxa,2023,León,1,1,Necaxa,41.5,4.15,12.45,12.45,12.45,39%,39%,22%,87,40,4,12,12,12,28%,28%,44%,77,empate
2023-Necaxa,2023-Querétaro,2023,Necaxa,0,1,Querétaro,40,4,12,12,12,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,18%,18%,65%,64,gana visitante
2023-América,2023-Necaxa,2023,América,3,2,Necaxa,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,40,4,12,12,12,28%,28%,44%,77,gana local
2023-Necaxa,2023-Tigres,2023,Necaxa,0,3,Tigres,40,4,12,12,12,44%,22%,33%,77,NULL,NULL,NULL,NULL,NULL,30%,30%,40%,107,gana visitante
